ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
311,0.0017714640046736219,0,0.0016512533455039506,6.716236818170148e-6,0,0,0,0.00450250986704285,1.1444595023214161e-4,2.4275505861496273e-4,0,0,0,0,0,2.7363926788650687e-4,0,0,0,0,8.66707498435978e-6,0,0,0,0,0,0
312,0.0015732751450050324,0,0.0024084274926399014,0,0,0,2.615607747056387e-4,0.0055198550698579854,0,0,0,0,0,0,0,0.001820762265433502,0,0,0,0.0010858980218544604,1.0718388993585353e-4,0,0,0,0,0,0
313,0.00784009636802064,0,0.003381404273703284,0,0,1.8892066009667526e-4,1.6744980048973062e-4,0.006656055068891683,2.2308827581490475e-4,4.8721999875654323e-4,0,0,0,0,1.4857859157137588e-4,5.349052030407734e-4,0,0,0,0,0,0,0,0,0,0,0
314,0.013367190350575082,0,0.024662466374148834,0,2.2216687995442916e-4,0.0011485949733082278,5.070288919906349e-4,0.0260509690316305,7.224282863538475e-4,0.0038301843153690563,0,0,1.5818064967256036e-4,5.416304964362155e-5,3.6390395963696733e-4,0.005012843382224124,5.093709549704442e-4,0,1.2176501408973893e-4,0.002152268827089688,1.2705633584254568e-4,4.3895447161694556e-4,7.160368269021332e-5,0,0,0,0
315,0.007660360119979986,0,0.004952593274191756,0,6.3569049259508e-5,2.1128052541919345e-4,3.657576217264038e-4,0.012693700548671432,0,6.21517965620791e-4,0,0,0,0,0,7.475883656395125e-4,0,0,0,1.9871567174302774e-4,0,0,0,8.742762571689765e-5,0,0,0
316,0.0016470976275506268,0,0.0015522748582425094,0,0,0,0,0.00316778194665095,9.453761923636991e-5,0,0,0,2.617261611616108e-5,0,3.7560706132661423e-5,0,0,0,0,0,0,0,0,0,0,0,0
317,0.0021110722167574534,0,0.001461995063853079,0,0,0,0,0.005935627385941106,0,2.5720818368974574e-4,0,0,0,0,0,3.2847884140372e-4,0,0,0,0,0,0,0,0,0,0,0
318,0.03106196046343905,0,0.008851347477597556,0,0,2.9719751890806546e-4,0.0019305728642687243,0.009572182703791638,0,0.0032914888417607813,0,0,2.3177299603467067e-4,0,0,0.0012473208423817556,0,0,0,0,0,0,0,0,1.2098678429104038e-5,0,0
319,0.0027751459441988802,0,0.003078827901460966,7.799289206265535e-6,0,2.7738980375823196e-4,0,0.005294696194875988,2.3960678383517877e-4,0,2.721362576055652e-5,0,6.175372816793519e-5,0,0,9.771177385198022e-4,1.520531224883161e-4,0,0,0,0,0,1.1656078446646023e-5,0,0,0,0
320,0.008214560736607236,0,0.014634479712488156,0,0,9.675750854086484e-4,3.055170849232493e-4,0.00753724073729886,6.373048410579144e-4,0.001954456323859891,0,0,1.1410716461946338e-4,0,0,0.0010997188428873304,0,0,0,0,0,0,0,0,0,0,0
321,0.023380838697588165,0,0.012107576379087964,0,0,7.847980508445116e-4,4.193852208679977e-4,0.017923418603671127,0,0.002351637581651096,4.837825917677396e-5,5.842674537159963e-4,0,3.696812793580641e-5,0,0.009055747105264064,0,0,6.392852100001417e-5,0,0,0,0,0,0,0,0
322,0.0013179308421168757,0,0.004304199328987998,0,2.5880462087726816e-5,1.2204587094621161e-4,1.055975355828063e-4,0.0028600731104674285,1.2952507787718055e-4,2.7819672331996385e-4,0,8.624367264374594e-5,4.3646967562326214e-5,0,0,6.708516942126641e-4,0,0,0,0,0,0,0,2.6152901516086205e-5,0,0,0
323,0,0,0.006622247692670615,0,0,9.823592814385705e-4,6.833458958836291e-4,0.004604055241322397,5.92578699250933e-4,0.0010812307187035239,0,0,0,0,9.526670268087203e-4,4.018701315608304e-4,1.1861791749008393e-4,0,3.276720009168611e-5,0,0,0,0,4.425312628473999e-5,0,0,0
324,0.0018650378266791795,0,0.004676261587014934,0,0,0,4.585852354892801e-4,0.0028949590568508737,0,0,0,0,0,0,4.3093505412559097e-5,3.306373546017751e-4,7.65220817162288e-5,0,0,0,0,0,0,0,0,1.1849229094994177e-5,0
325,8.785005577969981e-4,0,0.0035673736580549976,0,0,0,8.26389825019675e-5,0.001977194840676882,1.2881752153654362e-4,2.076577498571733e-4,0,0,3.807442381802216e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.906697872054054e-6
326,0.015163285215565836,0,0.004970412881382377,0,0,3.61876918355196e-4,0,0.005925190943234604,3.9920581002522314e-4,7.91238374998805e-4,0,0,6.363056386648261e-5,2.1580001872274756e-5,0,0.0013657425114759656,7.162495192061585e-4,0,4.164720833991169e-5,0,0,0,0,0,0,0,0
327,0.002631624095815508,0,0.0034543791016961593,0,0,2.2510721681953937e-4,0,0.0060124004055057785,1.5378673146802227e-4,0.0030197938700642995,0,1.364704357697037e-4,4.7067017853628185e-5,0,0,8.145804446592426e-4,0,0,2.7978085930023034e-5,0,0,0,0,0,0,0,0
329,0.010924390093452275,0,0.003074072357673789,0,0,0,2.524525041999773e-4,0.011449292727397392,2.1420620903406479e-4,6.130515639828999e-4,0,0,0,0,6.679962414268927e-5,5.231817539404943e-4,2.4025704037803226e-4,0,0,0,2.172722799673858e-5,0,0,0,0,2.7982693521069133e-5,0
330,0.004640151113520511,0,0.0022423207610268296,0,0,1.5602927267281802e-4,0,0.007397796833885809,2.126009799495324e-4,3.654171272859374e-4,0,0,0,0,5.27987953462953e-5,6.225883027328755e-4,0,0,0,0,0,0,0,0,0,1.2480529178734233e-5,0
331,0.004832951683346039,0,0.004636190705301477,0,0,7.746799307128455e-4,1.6677732285409004e-4,0.006251582309305035,3.709117846026255e-4,5.130476968442263e-4,0,0,0,0,0,8.972394351007575e-4,0,0,0,0,0,0,0,0,0,0,0
332,0.01293121237849662,0,0.004927130670172598,0,0,3.423716736094875e-4,1.8764130498982165e-4,0.006958598023988848,2.2010630703540548e-4,5.987574850762476e-4,0,0,0,3.22628872630913e-5,0,0.0020579484579933585,1.3289143323663634e-4,0,0,0,0,0,0,4.7515526402376036e-5,0,0,0
334,0.0035410166839253093,0,0.005616280680293762,0,0,1.963785528008647e-4,2.3341214352367936e-4,0.011260705188930496,3.7094905215153496e-4,0,0,0,0,9.767753215547213e-5,6.790079534134526e-5,5.438388220764946e-4,0,0,0,0,0,0,0,4.532687118293008e-5,0,0,0
335,0,0,0.0043113856675405324,0,0,2.7648661905673154e-4,2.1303304252636785e-4,0.0073825800776863544,6.880975888423204e-4,0,0,0,0,0,1.5640474344533854e-4,6.625161195015235e-4,0,0,0,0,0,0,0,2.781861342056253e-5,0,0,0
336,0.015351344055740505,0,0.009658172272430423,0,0,8.349323546874531e-4,3.863913223604222e-4,0.006927373124357877,5.467752107986016e-4,0.0011712242479174487,3.769223082005415e-5,0,0,0,0,0.002259984935876562,2.176781988389999e-4,0,0,0,0,0,0,0,1.7036945941147994e-5,0,0
337,0.017208974868487034,5.140815682284597e-5,0.00815636205323407,0,1.4027612673138095e-4,9.005321841733899e-4,3.608474204391258e-4,0.01972715164332566,6.975940926789135e-4,0.007435619589817136,5.905959103886341e-5,0.003421825702427628,1.7179406043507054e-4,4.727763026417333e-5,1.8368557733828585e-4,0.0026983710833773317,3.3410511446233605e-4,0,0,0,0,0,0,8.337176833305522e-5,0,0,0
338,0.030246382725888546,0,0.008160916003555974,0,0,8.130001258230405e-4,0,0.0071030803326991385,4.177449918235821e-4,0.0014294487765776844,5.0085163619066056e-5,0,2.0269021008190885e-4,0,1.1483251731050364e-4,0.001350218193565461,1.660337447394225e-4,0,0,2.776233504160933e-4,0,0,0,0,0,0,0
339,0.0015780101034497949,0,0.003024364851597146,0,0,1.6068977653595923e-4,0,0.0029854684929883422,1.0338563020246812e-4,0,0,0,2.6982501796297575e-5,0,2.8343273449349687e-5,0,0,0,0,0,0,0,0,0,0,0,0
340,0.005466933337506713,0,0.004483505127960858,0,0,4.991314599786293e-4,2.4216091983283344e-4,0.009074429241568446,0,5.240638398596004e-4,0,2.1622613428615836e-4,8.109809979235484e-5,0,1.0195991542956386e-4,0.001742789958341657,0,0,0,0,0,0,0,0,0,0,0
382,0.0025671489961926887,0,0.0012165275374479926,0,0,6.94907685128947e-5,0,0.0017506142509804419,8.92596046264846e-5,0,0,2.6311915461274635e-4,0,0,0,1.831726324993139e-4,3.69553756074063e-5,0,0,0,0,0,0,0,0,0,0
383,0.010693604884815055,0,0.004822591509724435,0,0,0,2.469506156620516e-4,0.010005946319170752,3.66107597052811e-4,4.7090804424997323e-4,0,0,0,0,0,6.672536368289677e-4,0,0,0,0,0,0,0,0,0,0,0
