sp,Pycnonotus.barbatus,Cercopithecus.mitis,Sylvia.atricapilla,Cercopithecus.ascanius,Cinnyricinclus.leucogaster,Phylloscopus.trochilus,Turdus.pelios,Andropadus.latirostris,Zosterops.senegalensis,Ceratogymna.subcylindrica,Buccanodon.duchaillui,Colobus.guereza,Pogoniulus.bilineatus,Chlorocichla.laetissima,Gymnobucco.bonapartei,Andropadus.masukuensis,Ploceus.bicolor,Phyllastrephus.hypochloris,Andropadus.curvirostris,Heliosciurus.rufobrachium,Melaniparus.funereus,Phylloscopus.budongoensis,Phyllastrephus.cabanisi,Trachyphonus.purpuratus,Andropadus.gracilirostris,Serinus.citrinelloides,Apalis.rufogularis,Baeopogon.indicator,Hippolais.pallida,Andropadus.virens,Serinus.mozambicus,Colius.striatus,Musophaga.rossae,Nigrita.canicapillus,Papio.anubis,Turtur.tympanistria,Tricholaema.hirsuta,Bleda.syndactylus,Oriolus.brachyrhynchus,Phylloscopus.sibilatrix,Treron.calvus,Turdus.olivaceus,Cuculus.clamosus,Ploceus.nigerrimus,Sylvia.borin,Alethe.poliocephala,Eremomela.turneri,Andropadus.ansorgei,Estrilda.nonnula,Nigrita.fusconotus,Elminia.longicauda,Platysteira.castanea,Platysteira.cyanea,Ploceus.insignis,Ploceus.melanocephalus,Ploceus.ocularis,Turdoides.sharpei,Anthoscopus.caroli,Bathmocercus.rufus,Centropus.monachus,Chalcomitra.senegalensis,Columba.larvata,Cossypha.polioptera,Laniarius.luehderi,Lybius.bidentatus,Melaniparus.albiventris,Phoenicurus.phoenicurus,Ploceus.baglafecht,Ploceus.nigricollis,Schistolais.leucopogon,Serinus.dorsostriatus,Spermophaga.ruficapilla,Terpsiphone.viridis,Tockus.alboterminatus,Campephaga.flava,Chalcomitra.amethystina,Chlorocichla.flavicollis,Cossypha.heuglini,Cossypha.niveicapilla,Cyanomitra.olivacea,Cyanomitra.verticalis,Dicrurus.adsimilis,Hylia.prasina,Malimbus.rubricollis,Oriolus.auratus,Prinia.bairdii,Prodotiscus.insignis,Sylvia.communis
Pittosporum viridiflorum,0.0017406440382941688,0,0.001450536698578474,0,0,0,0,5.802146794313896e-4,0,0,0,0,8.703220191470844e-4,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus prinoides,0.0017406440382941688,0,0.001450536698578474,0,0,0,0,0,5.802146794313896e-4,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum capitatum,0,0,0.0017406440382941688,0,0,0,2.901073397156948e-4,5.802146794313896e-4,0,0,0,0,2.901073397156948e-4,0,0,2.901073397156948e-4,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,0,0
Toddalia asiatica,0,0,0.0020307513780098638,2.901073397156948e-4,0,0,0,5.802146794313896e-4,0,0,5.802146794313896e-4,0,2.901073397156948e-4,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culcasia falcifolia,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,2.901073397156948e-4,0,2.901073397156948e-4,0.0011604293588627793,2.901073397156948e-4,0,0,0,0,0,0,0,0.001450536698578474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peponium vogelii,0,2.901073397156948e-4,0,0.0034812880765883376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper guineense,0,0,5.802146794313896e-4,0,0,2.901073397156948e-4,0,0.001450536698578474,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus abyssinicus,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffea eugenioides,0,0,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,2.901073397156948e-4,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria peduncularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracaena fragrans,0,0,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus niveus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
