ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
311,5.438165042266627e-4,0,0.0028036761995685723,1.2084811205036949e-5,0,0,0,0.0055469283431119594,1.2689051765288798e-4,1.5710254566548033e-4,0,0,0,0,0,2.4169622410073898e-4,0,0,0,0,1.8127216807555424e-5,0,0,0,0,0,0
312,4.4713801458636714e-4,0,0.004145090243327674,0,0,0,2.2961141289570204e-4,0.006592264512347656,0,0,0,0,0,0,0,0.001691873568705173,0,0,0,0.0011601418756835471,1.5106014006296186e-4,0,0,0,0,0,0
313,0.00213901158329154,0,0.005643606832752255,0,0,2.9607787452340525e-4,1.5106014006296186e-4,0.008102865912977274,2.477386297032575e-4,3.081626857284422e-4,0,0,0,0,3.3233230813851613e-4,4.773500425989595e-4,0,0,0,0,0,0,0,0,0,0,0
314,0.003758376284766491,0,0.03994634343824963,0,3.806715529586639e-4,0.0017885520583454685,4.531804201888856e-4,0.03054436032073089,7.975975395324386e-4,0.0024653014858275375,0,0,2.2356900729318357e-4,1.2084811205036949e-4,8.096823507374756e-4,0.004392828873030931,3.9275636416370084e-4,0,1.5710254566548033e-4,0.0023625805905847235,1.7522976247303577e-4,2.2356900729318357e-4,7.25088672302217e-5,0,0,0,0
315,0.0021329691776890217,0,0.008266010864245273,0,1.2084811205036949e-4,3.383747137410346e-4,3.3233230813851613e-4,0.015758593811368182,0,4.048411753687378e-4,0,0,0,0,0,6.948766442896246e-4,0,0,0,2.2356900729318357e-4,0,0,0,7.25088672302217e-5,0,0,0
316,5.015196650090334e-4,0,0.002664700870710647,0,0,0,0,0.003861097180009305,1.0876330084533255e-4,0,0,0,4.2296839217629325e-5,0,9.063608403777712e-5,0,0,0,0,0,0,0,0,0,0,0,0
317,6.163253714568844e-4,0,0.002531767947455241,0,0,0,0,0.007123996205369282,0,1.691873568705173e-4,0,0,0,0,0,2.900354689208868e-4,0,0,0,0,0,0,0,0,0,0,0
318,0.008652724822806455,0,0.014356755711583897,0,0,4.592228257914041e-4,0.0017281280023202837,0.011776648519308507,0,0.002084629932868874,0,0,3.1420509133096066e-4,0,0,0.0011359722532734732,0,0,0,0,0,0,0,0,1.8127216807555424e-5,0,0
319,7.794703227248833e-4,0,0.005365656175036405,1.8127216807555424e-5,0,4.350532033813302e-4,0,0.006882299981268543,2.598234409082944e-4,0,4.2296839217629325e-5,0,8.459367843525865e-5,0,0,9.003184347752527e-4,1.2689051765288798e-4,0,0,0,0,0,1.2084811205036949e-5,0,0,0,0
320,0.0022598596953419094,0,0.023613721094642198,0,0,0.001540813428642211,2.7190825211333136e-4,0.009359686278301117,7.009190498921431e-4,0.0012689051765288797,0,0,1.6314495126799883e-4,0,0,9.849121132105114e-4,0,0,0,0,0,0,0,0,0,0,0
