connectance,web asymmetry,links per species,cluster coefficient,NODF,weighted NODF,interaction strength asymmetry,specialisation asymmetry,linkage density,weighted connectance,Shannon diversity,interaction evenness,Alatalo interaction evenness,H2,number.of.species.HL,number.of.species.LL,cluster.coefficient.HL,cluster.coefficient.LL,weighted.cluster.coefficient.HL,weighted.cluster.coefficient.LL,niche.overlap.HL,niche.overlap.LL,extinction.slope.HL,extinction.slope.LL,robustness.HL,robustness.LL,generality.HL,vulnerability.LL,niche.overlap.bray.HL,niche.overlap.bray.LL,niche.overlap.jaccard.HL,niche.overlap.jaccard.LL,M,net_size,net_id,net_n,assortativity,centr_binary,centralization.w,type,net_code,unique.ints,code_ID,ref,country,plant_sp,family,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2
0.5230769230769231,-0.07142857142857142,3.642857142857143,0.5333333333333333,73.52524069737183,39.60417542384756,0.11337877234229958,1,8.392924816531337,0.2997473148761192,4.199089687798594,0.7963379554961193,0.7169843776644815,0.13264721243487704,13,15,0.8964537700286369,0.5371362865662334,0.9818124776471289,0.9220404329573103,0.31262777148152116,0.8795968779293222,9.677827452171693,5.843501716527584,0.8261532275103264,0.7512388225096899,12.002481010342658,4.783368622720034,0.2099131892839396,0.6518577944534925,0.13078980649418054,0.4970553675477987,0.14399214868210927,195,12_10,30,-0.434194033592381,0.455843032775273,0.823374224943291,ind,ind_12_10,102,12_10,Ramaswami et al 2017 Plant Ecology,India,Ziziphus oenopolia,Rhamnaceae,Asia,Tropical,20,29,#6A1B9A,#311B92,#AB47BCFF,#7E57C2FF,#6A1B9A,#AB47BCFF,#C62828,#EF5350FF
0.3247863247863248,-0.7333333333333333,1.6888888888888889,0.34615384615384615,46.85657596371882,26.933421516754848,0.36905920084404126,-1,8.910520884024713,0.19801157520054918,4.028102350992714,0.7383804300085814,0.7429038523087867,0.4678285880883502,6,39,0.532893032893033,0.4208754208754209,0.24798905608755917,0.875977780297017,0.21843043550106442,0.46797156116839334,1.951512468821221,7.15646674034624,0.4935567124335688,0.8287165199628308,15.691731032402718,2.129310735646709,0.11607129376089856,0.30275728940833174,0.06632730800523863,0.20733535310424203,0.36134067952249777,234,13_01,31,-0.807295729901965,0.762550860754613,0.888874043168286,ind,ind_13_01,76,13_01,Jácome-Flores et al 2019 Oikos,Spain,Chamaerops humilis,Arecaceae,Europe,Mediterranean,1,1,#FFE082,#FFE082,#FFCA28FF,#FFCA28FF,#90CAF9,#42A5F5FF,#90CAF9,#42A5F5FF
0.3958333333333333,-0.6,1.9,0.3125,68.4135166093929,39.919816723940436,0.5737462975062739,-0.8136035782665645,8.180561428683717,0.2726853809561239,3.7152712275428157,0.7475675651356528,0.7857350775505747,0.33981866116354975,6,24,0.7145348837209302,0.5108527131782947,0.41367768513199676,0.8676037680306152,0.3488786580555631,0.7062706774308213,2.50432809503901,7.83032678952279,0.545689643546796,0.8356917800038599,13.896609134761166,2.46451372260626,0.201598069084848,0.43337300161245074,0.12003740969829188,0.30365878065198676,0.2833964305029745,144,13_02,32,-0.579128973701187,0.745735963470891,0.848674140142597,ind,ind_13_02,57,13_02,Jácome-Flores et al 2019 Oikos,Spain,Chamaerops humilis,Arecaceae,Europe,Mediterranean,1,1,#FFE082,#FFE082,#FFCA28FF,#FFCA28FF,#90CAF9,#42A5F5FF,#90CAF9,#42A5F5FF
0.43703703703703706,-0.25,2.4583333333333335,0.4666666666666667,70.80631543397503,35.25751435325905,0.1704852990813325,-0.9533678724411534,5.422186170508265,0.22592442377117772,3.59925257482079,0.7337514690597199,0.6034597227335176,0.33959982233489305,9,15,0.6880000000000001,0.4766666666666668,0.7039768848949974,0.917162580338005,0.2968611074069799,0.5274949831501018,4.131703741557807,6.046701904964641,0.6859605750989041,0.7723079571212205,7.379287137332823,3.465085203683701,0.23163423585744555,0.3511018872358599,0.139912290152152,0.2276671012787364,0.33508125,135,14_01,33,-0.501031728691768,0.584468986475521,0.820635808502611,ind,ind_14_01,59,14_01,Guerra et al 2017 Oecología,Brazil,Miconia irwinii,Melastomataceae,America,Tropical,26,23,#1E8BE8,#008C7E,#42A5F5FF,#26A69AFF,#9124AB,#AB47BCFF,#E83B35,#EF5350FF
0.2517482517482518,-0.40540540540540543,1.945945945945946,0.15384615384615385,68.05600539811068,40.94973009446693,0.476476716196223,-0.9007428477483602,7.2784679116863185,0.1967153489644951,3.6866859959141767,0.6518195427478494,0.6665229611085499,0.44002838153800483,11,26,0.6841251798038053,0.3359256436902032,0.4619523879221788,0.8122915966730855,0.23672268014375672,0.6698850849776845,1.9970781657175312,3.7148441582676197,0.5744618268137233,0.7373048462216288,12.04257083765146,2.5143649857211723,0.1493633675618197,0.36734582491786577,0.09300232361186928,0.25343184034619265,0.3138165534023808,286,15_01,34,-0.517752288466669,0.74976914457848,0.910016459414586,ind,ind_15_01,72,15_01,Juniperus macrocarpa - unpublished,Spain,Juniperus macrocarpa,Cupressaceae,Europe,Mediterranean,3,3,#FFCF3B,#FFCF3B,#FFCA28FF,#FFCA28FF,#53ADF5,#42A5F5FF,#53ADF5,#42A5F5FF
0.3076923076923077,-0.4857142857142857,2.057142857142857,0.15384615384615385,43.33036538715209,21.12188365650969,0.3312399453155388,-0.42734014659297553,5.985061738317899,0.17100176395193997,3.513300254957618,0.6440134651408607,0.6246859649867202,0.5102046740520428,9,26,0.6095770326539557,0.3575498575498577,0.4987555401203932,0.8775957792705739,0.17610467606267316,0.39430110616716074,2.6157674842082472,5.772183823138888,0.6072102181185124,0.8051246640472478,9.953469243326056,2.0166542333097417,0.07888738875319545,0.242858146772239,0.04624567575542449,0.1595707123451763,0.3687652697624207,234,16_01,35,-0.530152561595779,0.74882842322616,0.929647019956101,ind,ind_16_01,72,16_01,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF
0.3,-0.47368421052631576,2.210526315789474,0.125,58.87691774029958,25.920477639402623,0.27052226443430205,-0.24886677923090905,7.7584121477552115,0.2041687407304003,3.9111614152923573,0.6941095747554711,0.691136535594091,0.41555010063795644,10,28,0.6572700296735905,0.3467853610286845,0.7136148226234522,0.8784725148170158,0.12542533610354142,0.45227189007854607,3.162152965432985,3.42135730884362,0.6532818508816802,0.72224628480223,12.995690949290855,2.5211333462195613,0.08051108438298643,0.3083193333787521,0.04900265901001059,0.20721947131085425,0.3405829642478729,280,16_02,36,-0.674541239222342,0.702935513591767,0.90287271779805,ind,ind_16_02,84,16_02,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF
0.2074074074074074,-0.6875,1.75,0.09259259259259259,33.389435648742456,13.243181349942153,0.5117240641773028,-0.7236494878481976,9.731035054921344,0.152047422733146,4.0501173061072935,0.6437372325199654,0.6528695932905872,0.6538986986870189,10,54,0.49315579426354855,0.22426988922457197,0.19660730315736955,0.8431570608041172,0.05675813862727278,0.3309560517078199,2.041072718350327,4.179843369300571,0.5682625860851634,0.7606774168796773,17.86524071655059,1.596829393292093,0.03265304361295126,0.19961624406114742,0.01768089949485339,0.13535617292423766,0.3907290611318506,540,16_03,37,-0.688715663517992,0.827783742949912,0.945244927435419,ind,ind_16_03,112,16_03,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF
0.21785714285714286,-0.627906976744186,1.4186046511627908,0.11428571428571428,40.178576457194346,14.43657297336439,0.5790599616855798,-0.18906344267028358,7.256169474269002,0.16874812730858144,3.4741585494984055,0.6165551500883704,0.6898545771054856,0.6757510819471026,8,35,0.579440353460972,0.22422680412371135,0.06371285421242748,0.7778264040846098,0.044573181203445014,0.4330988714361796,1.8531314248556114,3.088438598371527,0.5245534010795838,0.7093331618665554,13.076951599602888,1.4353873489351123,0.028728461129418653,0.23822083234616198,0.015838740343124998,0.1637565419415891,0.41550005314061017,280,16_04,38,-0.633577234273919,0.81627125088755,0.936350479472206,ind,ind_16_04,61,16_04,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF
0.3793103448275862,-0.5263157894736842,2.6052631578947367,0.10344827586206896,60.15376235964468,39.20521199932962,0.3845827331018279,0.07780600462398429,11.688847550924507,0.3076012513401186,4.153556232154526,0.746435618546498,0.7856076460385197,0.13925951185493962,9,29,0.9343221402399235,0.40469836648875956,0.9154248629551891,0.9496050595317964,0.1727078599525671,0.7416990474693522,3.8851664257384475,4.286551562976535,0.6843544213363204,0.7663928906437144,20.668467120104054,2.709227981744948,0.07038673024583472,0.5091119716486406,0.04794039491444706,0.37499507597775644,0.18148292048842182,261,16_05,39,-0.721262124600674,0.703168499148749,0.809228722042625,ind,ind_16_05,99,16_05,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF
