net_id,t,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,type,net_code,unique.ints,ref,country,plant_sp,family,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2,cols_country,cols_magma,cols_viridis
12_10,15,Observed,0,13,9.875829503801903,16.124170496198097,0.9719251336898396,0.9450863717873915,0.9987638955922876,ind,ind_12_10,102,Ramaswami et al 2017 Plant Ecology,India,Ziziphus oenopolia,Rhamnaceae,Asia,Tropical,20,29,#6A1B9A,#311B92,#AB47BCFF,#7E57C2FF,#6A1B9A,#AB47BCFF,#C62828,#EF5350FF,#2A5674,#F3655CFF,#3ABA76FF
13_01,39,Observed,0,6,4.877224122926579,7.122775877073421,1,0.9802718067566047,1,ind,ind_13_01,76,Jácome-Flores et al 2019 Oikos,Spain,Chamaerops humilis,Arecaceae,Europe,Mediterranean,1,1,#FFE082,#FFE082,#FFCA28FF,#FFCA28FF,#90CAF9,#42A5F5FF,#90CAF9,#42A5F5FF,#efc47e,#000004FF,#440154FF
13_02,24,Observed,0,6,5.612027748316741,6.387972251683259,1,1,1,ind,ind_13_02,57,Jácome-Flores et al 2019 Oikos,Spain,Chamaerops humilis,Arecaceae,Europe,Mediterranean,1,1,#FFE082,#FFE082,#FFCA28FF,#FFCA28FF,#90CAF9,#42A5F5FF,#90CAF9,#42A5F5FF,#efc47e,#000004FF,#440154FF
14_01,15,Observed,0,9,8.076441310781131,9.923558689218869,1,0.9742803719758005,1,ind,ind_14_01,59,Guerra et al 2017 Oecología,Brazil,Miconia irwinii,Melastomataceae,America,Tropical,26,23,#1E8BE8,#008C7E,#42A5F5FF,#26A69AFF,#9124AB,#AB47BCFF,#E83B35,#EF5350FF,#A84369,#FECB8EFF,#B7DE2AFF
15_01,26,Observed,0,11,8.657394972412694,13.342605027587306,0.9742798353909465,0.9422507401385991,1,ind,ind_15_01,72,Juniperus macrocarpa - unpublished,Spain,Juniperus macrocarpa,Cupressaceae,Europe,Mediterranean,3,3,#FFCF3B,#FFCF3B,#FFCA28FF,#FFCA28FF,#53ADF5,#42A5F5FF,#53ADF5,#42A5F5FF,#E4C7F1,#0C0927FF,#481B6DFF
16_01,26,Observed,0,9,8.142465759140103,9.857534240859897,1,0.9804048958587863,1,ind,ind_16_01,72,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF,#E98D99,#FB8861FF,#5DC863FF
16_02,28,Observed,0,10,7.138841642967315,12.861158357032686,0.9651462994836488,0.9340692392199323,0.9962233597473653,ind,ind_16_02,84,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF,#E98D99,#FB8861FF,#5DC863FF
16_03,54,Observed,0,10,7.993001254755361,12.006998745244639,0.9737103174603174,0.9535370550995541,0.9938835798210808,ind,ind_16_03,112,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF,#E98D99,#FB8861FF,#5DC863FF
16_04,35,Observed,0,8,5.980540141661899,10.019459858338102,0.9522248243559719,0.9133441495235034,0.9911054991884404,ind,ind_16_04,61,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF,#E98D99,#FB8861FF,#5DC863FF
16_05,29,Observed,0,9,7.262677613854432,10.737322386145568,0.9911616161616161,0.961309818349556,1,ind,ind_16_05,99,Miguel et al 2018 Oikos,Argentina,Prosopis flexuosa,Fabaceae,America,Temperate,22,11,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,#FFC107,#FFCA28FF,#FFC107,#FFCA28FF,#E98D99,#FB8861FF,#5DC863FF
17_01,26,Observed,0,16,12.992432949051208,19.00756705094879,0.9586435070306039,0.9322528482610393,0.9850341658001684,ind,ind_17_01,93,Visotto et al 2022 Oecologia,Brazil,Schinus terebinthifolia,Anacardiaceae,America,Temperate,27,12,#1B7FDB,#008173,#42A5F5FF,#26A69AFF,#FF8F00,#FFCA28FF,#FF8F00,#FFCA28FF,#93355D,#FDDC9EFF,#CFE11CFF
18_01,10,Observed,0,16,12.163150906495623,19.836849093504377,0.9473684210526316,0.8966481222819296,0.9980887198233337,ind,ind_18_01,72,Phyllirea angustifolia - unpublished,Spain,Phillyrea angustifolia,Oleaceae,Europe,Mediterranean,7,7,#FFA900,#FFA900,#FFCA28FF,#FFCA28FF,#1B7FDB,#42A5F5FF,#1B7FDB,#42A5F5FF,#826DBA,#410F75FF,#3F4889FF
18_02,9,Observed,0,12,9.003924216342668,14.996075783657332,0.9414634146341463,0.8602099805854129,1,ind,ind_18_02,41,Phyllirea angustifolia - unpublished,Spain,Phillyrea angustifolia,Oleaceae,Europe,Mediterranean,7,7,#FFA900,#FFA900,#FFCA28FF,#FFCA28FF,#1B7FDB,#42A5F5FF,#1B7FDB,#42A5F5FF,#826DBA,#410F75FF,#3F4889FF
19_01,24,Observed,0,43,35.18809336920496,50.81190663079504,0.8150443960462389,0.7487779833038929,0.8813108087885849,ind,ind_19_01,127,Thiel et al 2023 Biotropica,Peru,Marcgravia longifolia,Marcgraviaceae,America,Tropical,29,22,#1565C0,#00695C,#42A5F5FF,#26A69AFF,#9625AD,#AB47BCFF,#EE3F35,#EF5350FF,#672044,#FCFDBFFF,#FDE725FF
20_01,19,Observed,0,14,9.976443733453191,18.02355626654681,0.9049853372434018,0.8363398749381379,0.9736307995486657,ind,ind_20_01,62,Osyris lanceolata - unpublished,Spain,Osyris lanceolata,Santalaceae,Europe,Mediterranean,6,6,#FFB601,#FFB601,#FFCA28FF,#FFCA28FF,#1E8BE8,#42A5F5FF,#1E8BE8,#42A5F5FF,#9F82CE,#321066FF,#433E85FF
21_01,22,Observed,0,12,9.610674113842105,14.389325886157895,0.955820476858345,0.909575771690258,1,ind,ind_21_01,62,Jayanth et al 2024 Biotropica,India,Naringi crenulata,Rutaceae,Asia,Tropical,17,25,#8A22A8,#522DA8,#AB47BCFF,#7E57C2FF,#8421A5,#AB47BCFF,#DB3432,#EF5350FF,#45819A,#D3436EFF,#1FA187FF
21_02,20,Observed,0,13,10.041844088067089,15.958155911932911,0.9316239316239316,0.875828299284557,0.9874195639633063,ind,ind_21_02,57,Jayanth et al 2024 Biotropica,India,Ziziphus oenopolia,Rhamnaceae,Asia,Tropical,20,29,#6A1B9A,#311B92,#AB47BCFF,#7E57C2FF,#6A1B9A,#AB47BCFF,#C62828,#EF5350FF,#2A5674,#F3655CFF,#3ABA76FF
