"","net_id","assortativity","centr_binary","centralization.w","type"
"78","23_01",-0.223461427333141,0.728752031060839,0.913304396027606,"sp"
"79","24_01",-0.376309069668868,0.760351279867669,0.944289135593719,"sp"
"80","25_01",-0.341796499326794,0.734064584067443,0.951305713833013,"sp"
"81","25_02",-0.316444200646065,0.687009769417699,0.928595555315374,"sp"
"82","25_03",-0.398865784499055,0.721695941361076,0.872584891325609,"sp"
"83","26_01",-0.551982621466161,0.805187970356814,0.860554467225883,"sp"
"84","27_01",-0.34274554610647,0.78152737217457,0.931352913433493,"sp"
"85","28_01",-0.753849898333275,0.420857602436734,0.877270817327261,"sp"
"86","29_01",-0.422399763278591,0.551958146015614,0.853220433684095,"sp"
"87","29_02",-0.381090100111235,0.538018793696877,0.937314195691176,"sp"
"88","29_03",-0.429432764775883,0.531486421433457,0.955502920717007,"sp"
"89","29_04",-0.405468635765463,0.544872817963343,0.80737190848824,"sp"
"90","29_05",-0.509072235535776,0.589945564018773,0.954743497455738,"sp"
"91","29_06",-0.512450046111282,0.551743140418813,0.922785323384298,"sp"
"92","29_07",-0.369009282060996,0.530070358693368,0.883620065830949,"sp"
"93","29_08",-0.538347386172008,0.575504186523356,0.955243563162184,"sp"
"94","29_09",-0.498884402889929,0.470621489946324,0.946162113962598,"sp"
"95","29_10",-0.572368421052632,0.684090292119335,0.88959602921832,"sp"
"96","29_11",-0.696733207371505,0.658825212929097,0.949671037685593,"sp"
"97","29_12",-0.578671328671328,0.627390965927833,0.839578069940784,"sp"
"98","29_13",-0.418947550482121,0.550968718384187,0.965393580313857,"sp"
"99","30_01",-0.363263225667991,0.647519585945485,0.956216899059472,"sp"
"100","31_01",-0.139639639639638,0.454727888893689,0.767719592453199,"sp"
"101","32_01",-0.544998265485361,0.768357354407698,0.954014116408739,"sp"
"102","33_01",-0.573710965867829,0.777184558460935,0.881799312160447,"sp"
"103","34_01",-0.532431480549186,0.861292911836329,0.977266228153698,"sp"
"104","35_01",-0.574681238615665,0.74151966320262,0.914871006650518,"sp"
"105","36_01",-0.590893394504465,0.70498272741111,0.895419010271715,"sp"
"106","37_01",-0.537341231249816,0.764680016703519,0.940872847042066,"sp"
"107","38_01",-0.599040127982935,0.75070870269092,0.925561271052722,"sp"
"108","38_02",-0.55568732088151,0.733846301924505,0.899734714399292,"sp"
"109","39_01",-0.600030794498049,0.771401195807553,0.908850028923124,"sp"
