net_id,frug_sp,ints,n_ind,n_plants_int,per.plants,net_code,type,ref,country,plant_sp,family.x,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2,frug_sp_original,frug_sp_elton,family.y,bmass.elton,class,bmass
02_01,Turdus_merula,0.04884145228972817,35,23,0.6571428571428571,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus merula,Turdus merula,Turdidae,102.73,bird,102.73
02_01,Erithacus_rubecula,0.097938332421091,35,32,0.9142857142857143,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Erithacus rubecula,Erithacus rubecula,Muscicapidae,17.7,bird,17.7
02_01,Turdus_iliacus,0.0013866082831600073,35,2,0.05714285714285714,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus iliacus,Turdus iliacus,Turdidae,61.2,bird,61.2
02_01,Sylvia_melanocephala,0.009177157453019521,35,14,0.4,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Sylvia melanocephala,Sylvia melanocephala,Sylviidae,11.7,bird,11.7
02_01,Oryctolagus_cuniculus,4.926108374384236e-4,35,3,0.08571428571428572,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Oryctolagus cuniculus,Oryctolagus cuniculus,Leporidae,1832.22,mammal,1832.22
02_01,Turdus_torquatus,1.4595876664842182e-4,35,1,0.02857142857142857,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus torquatus,Turdus torquatus,Turdidae,109,bird,109
02_01,Gennetta_genetta,9.487319832147419e-4,35,4,0.11428571428571428,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Gennetta genetta,Genetta genetta,Viverridae,1800,mammal,1800
02_01,Meles_meles,1.0946907498631636e-4,35,1,0.02857142857142857,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Meles meles,Meles meles,Mustelidae,13000,mammal,13000
02_02,Turdus_philomelos,0.721807842847648,35,35,1,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus philomelos,Turdus philomelos,Turdidae,67.74,bird,67.74
02_02,Vulpes_vulpes,0.007286512566772518,35,11,0.3142857142857143,ind_02_02,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Vulpes vulpes,Vulpes vulpes,Canidae,5476.17,mammal,5476.17
