ind,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d,net_id,net_n,ind_ID,mean.bray.overlap,mean.jaccard.overlap,eigen.centrality,tm.closeness,tm.w.closeness,tm.betweenness,tm.w.betweenness
MYDA16,2,0.2857142857142857,0.15700849520067794,-0.4214957523996611,0.25,0.9761904761904763,0.863013132383666,0.8333333333333334,0.15700849520067794,1.0833333333333333,0.10843373493975904,0,0.04448742746615087,0.04613809846308437,NA,0.37677016125643664,1.45756926498109,0.7085132908283186,0.4176736464253364,0,08_03,20,08_03_MYDA16,0.3852859671612484,0.276486044024817,0.199699557503591,0.03316038126040924,0.043817755621380475,6.599999999999998,0
MYDA17,1,0.14285714285714285,0.009167442713705403,-0.9908325572862946,0.875,1,1,1,0.009167442713705403,1.2083333333333333,0,0,0.041586073500967116,0.007345125113125132,NA,-0,1,0.6283935763925674,0.28655492158086576,0,08_03,20,08_03_MYDA17,0.3964617144905802,0.3356619163156117,0.0246026129988175,0.02044579643039815,0.005490844254846028,0,0
MYDA18,1,0.14285714285714285,0.17608635961955035,-0.8239136403804497,0.625,1,1.0000000000000002,1,0.17608635961955035,1.7083333333333333,0,0,0.029980657640232108,0.016013255185493413,NA,-0,1,0.08011971443575118,0.28655492158086576,0.5425221061448022,08_03,20,08_03_MYDA18,0.14107481736724492,0.1073548432932061,0.00209304206870728,0.0250792565315001,0.029502327290462475,0,0
MYDA19,2,0.2857142857142857,0.23318148113089365,-0.3834092594345532,0.375,0.8333333333333334,0.6454972243679028,0.8333333333333334,0.23318148113089365,1.7916666666666667,0,0,0.028046421663442938,0.013170197709751502,NA,0.6931471805599453,1.9999999999999998,0.11728596378385991,0.5731098431617314,0.4415995001202528,08_03,20,08_03_MYDA19,0.06922589749798236,0.05597153566495594,0.00540540800793509,0.03430241447173597,0.04857185874051976,0,0
MYDA20,1,0.14285714285714285,0.022542891918947715,-0.9774571080810522,0.5833333333333334,1,1,1,0.022542891918947715,1.2083333333333333,0,0,0.041586073500967116,0.01692565808287901,NA,-0,1,0.6283935763925674,0.28655492158086576,0,08_03,20,08_03_MYDA20,0.40906574447804445,0.2980096408827966,0.060498228685617,0.02044579643039815,0.013196968584360412,0,0
MYDA21,3,0.42857142857142855,0.2768354003841369,-0.24105486653862107,0.125,0.9285714285714285,0.6806859285554046,0.6666666666666666,0.2768354003841369,1.0416666666666667,0.1566265060240964,0,0.04545454545454545,0.04352878650376309,NA,0.8018185525433372,2.229591873920416,0.792173018919093,0.6389005245886004,0,08_03,20,08_03_MYDA21,0.39149013411625555,0.27867421216942423,0.177831163041159,0.036013545865430915,0.04862353717714482,7.933333333333333,0
MYDA23,1,0.14285714285714285,0.04583721356852702,-0.954162786431473,0.5,1,1.0000000000000002,1,0.04583721356852702,1.2083333333333333,0,0,0.041586073500967116,0.031017570612932824,NA,-0,1,0.6283935763925674,0.28655492158086576,0,08_03,20,08_03_MYDA23,0.412020482438074,0.3095605008337077,0.123013064994088,0.02044579643039815,0.025817790902652658,0,0
MYDA24,2,0.2857142857142857,0.06294283699618664,-0.46852858150190674,0.3333333333333333,0.9166666666666666,0.693888666488711,0.8333333333333334,0.06294283699618664,1.1666666666666667,0.04819277108433734,0,0.0425531914893617,0.017169360635663166,NA,0.6365141682948128,1.8898815748423097,0.7575356219392559,0.5415548664760611,0,08_03,20,08_03_MYDA24,0.37967295764992537,0.2646463323480881,0.0515397331899672,0.03397852281030943,0.027299216907069934,2.75,0
MYDA25,3,0.42857142857142855,0.337730254177641,-0.22075658194078632,0.20833333333333334,0.8333333333333334,0.5357583756107197,0.6666666666666666,0.337730254177641,1.0416666666666667,0.16867469879518077,0.21724137931034482,0.04545454545454545,0.03046062065302839,NA,1.0114042647073518,2.7494592739972052,0.37592842664910636,0.7878710866500532,0.19302724462468057,08_03,20,08_03_MYDA25,0.29528652206862616,0.19296012227251258,0.0342318321695138,0.036578647726333055,0.05570319454540195,12.01666666666667,60
MYDA27,1,0.14285714285714285,0.011459303392131755,-0.9885406966078683,0.6666666666666666,1,1.0000000000000002,1,0.011459303392131755,1.2083333333333333,0,0,0.041586073500967116,0.00907700579112207,NA,-0,1,0.6283935763925674,0.28655492158086576,0,08_03,20,08_03_MYDA27,0.41377309317892597,0.34218710694223187,0.030753266248522,0.02044579643039815,0.006836472706190895,0,0
