frug_sp_original,frug_sp_elton,family,bmass.elton,class,bmass
Sylvia melanocephala,Sylvia melanocephala,Sylviidae,11.7,bird,11.7
Sylvia undata,Sylvia undata,Sylviidae,10.8,bird,10.8
Sylvia atricapilla,Sylvia atricapilla,Sylviidae,16.7,bird,16.7
Sylvia hortensis,Sylvia hortensis,Sylviidae,21.9,bird,21.9
Sylvia borin,Sylvia borin,Sylviidae,18.2,bird,18.2
Sylvia cantillans,Sylvia cantillans,Sylviidae,9.6,bird,9.6
Phylloscopus collybita,Phylloscopus collybita,Sylviidae,8.3,bird,8.3
Sylvia conspicillata,Sylvia conspicillata,Sylviidae,9,bird,9
Orthotomus sutorius,Orthotomus sutorius,Sylviidae,7.5,bird,7.5
Curruca communis,Sylvia communis,Sylviidae,15.1,bird,15.1
Curruca hortensis,Sylvia hortensis,Sylviidae,21.9,bird,21.9
Curruca iberiae,Sylvia cantillans,Sylviidae,9.6,bird,9.6
Curruca melanocephala,Sylvia melanocephala,Sylviidae,11.7,bird,11.7
Curruca conspicillata,Sylvia conspicillata,Sylviidae,9,bird,9
Curruca undata,Sylvia undata,Sylviidae,10.8,bird,10.8
Pipraidea bonariensis,Thraupis bonariensis,Thraupidae,36,bird,36
Tachyphonus coronatus,Tachyphonus coronatus,Thraupidae,29.3,bird,29.3
Tangara cyanocephala,Tangara cyanocephala,Thraupidae,18,bird,18
Thraupis ornata,Thraupis ornata,Thraupidae,33,bird,33
Thraupis palmarum,Thraupis palmarum,Thraupidae,39,bird,39
Dacnis nigripes,Dacnis nigripes,Thraupidae,14,bird,14
Euphonia chalybea,Euphonia chalybea,Thraupidae,19,bird,19
Tangara desmaresti,Tangara desmaresti,Thraupidae,20.4,bird,20.4
Thraupis cyanoptera,Thraupis cyanoptera,Thraupidae,43.3,bird,43.3
Hemithraupis ruficapilla,Hemithraupis ruficapilla,Thraupidae,11,bird,11
Chlorophonia cyanea,Chlorophonia cyanea,Thraupidae,14,bird,14
Tangara seledon,Tangara seledon,Thraupidae,18.7,bird,18.7
Cissopis leverianus,Cissopis leverianus,Thraupidae,76,bird,76
Chlorophanes spiza,Chlorophanes spiza,Thraupidae,19,bird,19
Euphonia violacea,Euphonia violacea,Thraupidae,15,bird,15
Dacnis cayana,Dacnis cayana,Thraupidae,13,bird,13
Orthogonys chloricterus,Orthogonys chloricterus,Thraupidae,40,bird,40
Tangara preciosa,Tangara preciosa,Thraupidae,22.8,bird,22.8
Euphonia cyanocephala,Euphonia cyanocephala,Thraupidae,14,bird,14
Euphonia chlorotica,Euphonia chlorotica,Thraupidae,11,bird,11
Lanio cristatus,Tachyphonus cristatus,Thraupidae,18.8,bird,18.8
Ramphocelus bresilius,Ramphocelus bresilius,Thraupidae,32.9,bird,32.9
Tangara brasiliensis,Tangara mexicana,Thraupidae,20.5,bird,20.5
Tangara cayana,Tangara cayana,Thraupidae,18,bird,18
Tangara velia,Tangara velia,Thraupidae,21,bird,21
Schistochlamys ruficapillus,Schistochlamys ruficapillus,Thraupidae,31.2,bird,31.2
Thraupis sayaca,Thraupis sayaca,Thraupidae,32.49,bird,32.49
Thraupis bonariensis,Thraupis bonariensis,Thraupidae,36,bird,36
Stephanophorus diadematus,Stephanophorus diadematus,Thraupidae,35.4,bird,35.4
Euphonia laniirostris,Euphonia laniirostris,Thraupidae,15,bird,15
Euphonia rufiventris,Euphonia rufiventris,Thraupidae,14,bird,14
Tachyphonus luctuosus,Tachyphonus luctuosus,Thraupidae,13,bird,13
Tachyphonus surinamus,Tachyphonus surinamus,Thraupidae,19,bird,19
Tangara chilensis,Tangara chilensis,Thraupidae,19.77,bird,19.77
Tangara schrankii,Tangara schrankii,Thraupidae,19,bird,19
Euphonia minuta,Euphonia minuta,Thraupidae,10,bird,10
Tangara gyrola,Tangara gyrola,Thraupidae,21,bird,21
Tachyphonus rufiventer,Tachyphonus rufiventer,Thraupidae,19,bird,19
Turdoides affinis,Turdoides affinis,Timaliidae,63.28,bird,63.28
Trogon viridis,Trogon viridis,Trogonidae,89.69,bird,89.69
Trogon surrucura,Trogon surrucura,Trogonidae,73.29,bird,73.29
Trogon collaris,Trogon collaris,Trogonidae,65.43,bird,65.43
Trogon melanurus,Trogon melanurus,Trogonidae,114,bird,114
Trogon mesurus,Trogon mesurus,Trogonidae,114,bird,114
Trogon violaceus,Trogon violaceus,Trogonidae,46.5,bird,46.5
Turdus merula,Turdus merula,Turdidae,102.73,bird,102.73
Turdus philomelos,Turdus philomelos,Turdidae,67.74,bird,67.74
Turdus viscivorus,Turdus viscivorus,Turdidae,117.37,bird,117.37
Turdus iliacus,Turdus iliacus,Turdidae,61.2,bird,61.2
Turdus torquatus,Turdus torquatus,Turdidae,109,bird,109
Turdus chiguanco,Turdus chiguanco,Turdidae,93.29,bird,93.29
Turdus amaurochalinus,Turdus amaurochalinus,Turdidae,57.9,bird,57.9
Turdus rufiventris,Turdus rufiventris,Turdidae,69.44,bird,69.44
Turdus nigriceps,Turdus nigriceps,Turdidae,52.7,bird,52.7
Turdus albicollis,Turdus albicollis,Turdidae,54,bird,54
Turdus flavipes,Turdus flavipes,Turdidae,65.14,bird,65.14
Geokichla citrina,Zoothera citrina,Turdidae,53.3,bird,53.3
Myophonus horsfieldii,Myophonus horsfieldii,Turdidae,117,bird,117
Turdus simillimus,Turdus merula,Turdidae,102.73,bird,102.73
Pitangus sulphuratus,Pitangus sulphuratus,Tyrannidae,62.85,bird,62.85
Elaenia cristata,Elaenia cristata,Tyrannidae,18.2,bird,18.2
Elaenia chiriquensis,Elaenia chiriquensis,Tyrannidae,15.4,bird,15.4
Elaenia obscura,Elaenia obscura,Tyrannidae,23.9,bird,23.9
Camptostoma obsoletum,Camptostoma obsoletum,Tyrannidae,8.1,bird,8.1
Elaenia flavogaster,Elaenia flavogaster,Tyrannidae,24.8,bird,24.8
Rhytipterna simplex,Rhytipterna simplex,Tyrannidae,31.8,bird,31.8
Cyclaris gujanensis,Cyclarhis gujanensis,Vireonidae,28.8,bird,28.8
Cyclarhis gujanensis,Cyclarhis gujanensis,Vireonidae,28.8,bird,28.8
Gennetta genetta,Genetta genetta,Viverridae,1800,mammal,1800
Genetta genetta,Genetta genetta,Viverridae,1800,mammal,1800
Dacnis sp.,Dacnis sp.,NA,NA,bird,13.5
Amazilia sp,Amazilia sp,NA,NA,bird,4.66
Euphonia sp,Euphonia sp,NA,NA,bird,13.3
Pipreola sp,Pipreola sp,NA,NA,bird,50
Rodentia sp,Rodentia sp,NA,NA,mammal,NA
Tupinambis rufescens,Tupinambis rufescens,NA,NA,reptile,10000
Leontocebus nigrifrons,Leontocebus nigrifrons,NA,NA,mammal,420
Psammodromus algirus,Psammodromus algirus,NA,NA,reptile,11
